name,pos,mlbam_id,scope,split,G,PA,AB,H,2B,3B,HR,RBI,BB,SO,SB,BA,OBP,SLG,OPS,BABIP,TB,SF,SH,HBP,IBB
Alex Call,RF,669743,2026,vs RHP,5,11,9,3,1,0,0,1,2,1,0,0.333,0.455,0.444,0.899,0.375,4,0,0,0,0
Alex Call,RF,669743,Career,vs RHP,244,643,543,127,26,3,10,59,78,112,0,0.234,0.345,0.348,0.693,0.277,189,1,6,15,0
Alex Freeland,2B,690976,2026,vs RHP,12,37,33,8,1,0,1,2,4,10,0,0.242,0.324,0.364,0.688,0.318,12,0,0,0,0
Alex Freeland,2B,690976,Career,vs RHP,40,118,103,22,3,1,3,8,13,37,0,0.214,0.308,0.35,0.658,0.302,36,0,1,1,0
Andy Pages,CF,681624,2026,vs RHP,15,46,44,20,2,0,4,15,2,10,0,0.455,0.478,0.773,1.251,0.533,34,0,0,0,0
Andy Pages,CF,681624,Career,vs RHP,272,852,783,197,37,2,38,122,47,194,0,0.252,0.302,0.45,0.752,0.284,352,9,0,13,0
Dalton Rushing,C,687221,2026,vs RHP,2,6,6,3,0,0,2,2,0,2,0,0.5,0.5,1.5,2.0,0.5,9,0,0,0,0
Dalton Rushing,C,687221,Career,vs RHP,49,120,113,26,5,0,6,20,7,45,0,0.23,0.275,0.434,0.709,0.323,49,0,0,0,0
Freddie Freeman,1B,518692,2026,vs RHP,15,49,47,12,4,0,2,11,2,6,0,0.255,0.286,0.468,0.754,0.256,22,0,0,0,0
Freddie Freeman,1B,518692,Career,vs RHP,2010,6553,5640,1753,405,23,272,969,816,1130,0,0.311,0.4,0.535,0.935,0.346,3020,44,0,53,134
Hyeseong Kim,2B,808975,2026,vs RHP,5,13,10,3,1,0,0,1,2,4,0,0.3,0.385,0.4,0.785,0.429,4,1,0,0,0
Hyeseong Kim,2B,808975,Career,vs RHP,61,162,150,40,6,1,2,15,9,48,0,0.267,0.311,0.36,0.671,0.376,54,1,1,1,0
Kyle Tucker,RF,663656,2026,vs RHP,15,49,42,11,1,0,0,6,7,10,0,0.262,0.367,0.286,0.653,0.344,12,0,0,0,0
Kyle Tucker,RF,663656,Career,vs RHP,716,2111,1805,497,111,13,91,298,271,351,0,0.275,0.369,0.502,0.871,0.295,907,15,1,6,31
Max Muncy,3B,571970,2026,vs RHP,13,43,36,7,0,0,2,2,7,16,0,0.194,0.326,0.361,0.687,0.278,13,0,0,0,1
Max Muncy,3B,571970,Career,vs RHP,959,3003,2463,574,121,8,157,449,491,739,0,0.233,0.362,0.48,0.842,0.262,1182,27,0,22,23
Miguel Rojas,2B,500743,2026,vs RHP,6,14,13,2,0,0,0,1,0,3,0,0.154,0.143,0.154,0.297,0.182,2,1,0,0,0
Miguel Rojas,2B,500743,Career,vs RHP,1079,2959,2711,691,127,8,32,247,179,401,0,0.255,0.306,0.343,0.649,0.287,930,20,20,28,11
Mookie Betts,SS,605141,2026,vs RHP,8,26,22,5,1,0,2,7,3,3,0,0.227,0.346,0.545,0.891,0.176,12,0,0,1,0
Mookie Betts,SS,605141,Career,vs RHP,1459,5183,4562,1320,293,30,217,689,526,707,0,0.289,0.366,0.509,0.875,0.3,2324,44,3,48,13
Santiago Espinal,3B,669289,2026,vs RHP,2,2,2,1,1,0,0,0,0,0,0,0.5,0.5,1.0,1.5,0.5,2,0,0,0,0
Santiago Espinal,3B,669289,Career,vs RHP,440,1143,1044,256,43,1,10,90,76,172,0,0.245,0.3,0.317,0.617,0.283,331,6,8,9,0
Shohei Ohtani,TWP,660271,2026,vs RHP,14,50,36,10,0,0,3,8,10,14,0,0.278,0.44,0.528,0.968,0.333,19,2,0,2,3
Shohei Ohtani,TWP,660271,Career,vs RHP,943,2984,2530,734,137,28,212,490,410,733,0,0.29,0.391,0.618,1.009,0.326,1563,16,0,19,80
Teoscar Hernández,RF,606192,2026,vs RHP,13,37,36,13,2,0,3,11,0,9,0,0.361,0.351,0.667,1.018,0.4,24,1,0,0,0
Teoscar Hernández,RF,606192,Career,vs RHP,1038,3306,3036,780,157,10,150,481,221,969,0,0.257,0.312,0.463,0.775,0.326,1407,17,0,29,2
Will Smith,C,669257,2026,vs RHP,12,41,37,11,0,0,2,7,4,5,0,0.297,0.366,0.459,0.825,0.3,17,0,0,0,0
Will Smith,C,669257,Career,vs RHP,696,2193,1867,499,88,9,97,361,233,412,0,0.267,0.359,0.48,0.839,0.288,896,38,0,55,3
