block,total_perm,mean_perm,max_perm,n_features,target
pitcher_rolling,0.17658612207710647,0.029431020346184413,0.162149114584607,6,is_hit
context,0.08580545948046173,0.010725682435057716,0.04533457680015154,8,is_hit
batter_rolling,0.001539888296289349,7.332801410901662e-05,0.0008264118510630025,21,is_hit
batter_pitch_type,0.0006381257975452081,5.801143614047346e-05,0.0007981779996034444,11,is_hit
bvp_matchup,-0.0005072357451874288,-0.00010144714903748576,0.00010546373704811707,5,is_hit
batter_career_splits,-0.0010777995437292853,-0.00013472494296616066,0.00050449613329826,8,is_hit
pitcher_profile,-0.0077284904240355395,-0.00040676265389660735,0.00013283721452574948,19,is_hit
context,0.129315189003437,0.016164398625429625,0.12372824742268047,8,is_hr
pitcher_rolling,0.03927656357388371,0.006546093928980618,0.03626048109965645,6,is_hr
batter_rolling,0.022873127147768013,0.0010891965308460958,0.004302955326460567,21,is_hr
pitcher_profile,0.013440962199314344,0.0007074190631218075,0.00620357388316164,19,is_hr
bvp_matchup,0.0012290034364264458,0.00024580068728528913,0.0010779381443299708,5,is_hr
batter_career_splits,-0.0059358075601367855,-0.0007419759450170982,0.0011037800687286436,8,is_hr
batter_pitch_type,-0.007533745704466277,-0.0006848859731332979,0.00043065292096227114,11,is_hr
context,0.25857812207394604,0.032322265259243255,0.22480567467588147,8,is_strikeout
pitcher_rolling,0.11194557291152096,0.018657595485253493,0.10305544811984377,6,is_strikeout
batter_pitch_type,0.004386059016554733,0.00039873263786861205,0.0014012832058691639,11,is_strikeout
batter_rolling,0.004239326928598142,0.0002018727108856258,0.0015737528125415955,21,is_strikeout
batter_career_splits,0.0009390430160050256,0.0001173803770006282,0.00040897717124446233,8,is_strikeout
bvp_matchup,0.00016901127463333498,3.3802254926666994e-05,0.00013391038073655713,5,is_strikeout
pitcher_profile,-0.001272830872975428,-6.69910985776541e-05,0.0005096922696163908,19,is_strikeout
context,0.4388532907782733,0.05485666134728416,0.31116826329479635,8,is_walk
pitcher_rolling,0.02457777062019919,0.004096295103366531,0.020744073714387756,6,is_walk
batter_rolling,0.00275230601469878,0.00013106219117613237,0.0015692991916816724,21,is_walk
batter_career_splits,0.00039003383040592254,4.875422880074032e-05,0.0002412971702077771,8,is_walk
bvp_matchup,0.000356143778410245,7.1228755682049e-05,0.0001820302472781643,5,is_walk
pitcher_profile,0.00033928008853796317,1.7856846765155955e-05,0.00041443466784234494,19,is_walk
batter_pitch_type,0.00030620339779028336,2.7836672526389395e-05,0.000277464633697444,11,is_walk
context,0.1111596605149236,0.01389495756436545,0.08875227842333103,8,is_xbh
pitcher_rolling,0.09178167008430158,0.015296945014050262,0.08793500797448166,6,is_xbh
batter_career_splits,0.0025100250626564737,0.0003137531328320592,0.0015557074504442881,8,is_xbh
bvp_matchup,0.0023986101617679,0.00047972203235358,0.0022129756208703276,5,is_xbh
pitcher_profile,0.00033851674641101077,1.781667086373741e-05,0.004193096377306871,19,is_xbh
batter_rolling,-0.0024557416267945165,-0.00011694007746640555,0.0019811460469355115,21,is_xbh
batter_pitch_type,-0.0048477443609024505,-0.0004407040328093137,0.0004997721576668779,11,is_xbh
