mean_hits,p_at_least_1_hit,p_multi_hit,mean_hr,p_at_least_1_hr,mean_tb,p_3plus_tb,name,p_hit_model,n_pa_val
1.14,0.737,0.319,0.114,0.107,1.89,0.305,Shohei Ohtani,0.287,727
1.04,0.7,0.278,0.104,0.1,1.74,0.274,Freddie Freeman,0.263,628
1.03,0.695,0.271,0.104,0.099,1.72,0.27,Dalton Rushing,0.259,155
1.01,0.687,0.263,0.098,0.095,1.68,0.263,Andy Pages,0.254,625
1.01,0.687,0.263,0.098,0.095,1.68,0.263,Mookie Betts,0.254,664
1.01,0.687,0.262,0.097,0.094,1.67,0.262,Teoscar Hernández,0.254,546
0.99,0.679,0.256,0.097,0.094,1.65,0.253,Kyle Tucker,0.249,597
0.95,0.661,0.238,0.094,0.09,1.58,0.242,Alex Call,0.239,2916
0.95,0.66,0.237,0.094,0.091,1.58,0.241,Miguel Rojas,0.239,317
0.94,0.659,0.236,0.093,0.09,1.57,0.239,Santiago Espinal,0.238,330
0.92,0.646,0.226,0.09,0.087,1.52,0.234,Will Smith,0.231,438
0.91,0.645,0.225,0.09,0.086,1.52,0.233,Hyeseong Kim,0.23,170
0.91,0.642,0.222,0.091,0.087,1.51,0.231,Alex Freeland,0.229,97
0.87,0.624,0.206,0.086,0.082,1.45,0.22,Max Muncy,0.219,388
