model,brier,roc_auc,avg_precision,calibration_gap,mean_pred,actual_rate
is_hit_raw,0.16124,0.6624,0.322,0.0022,0.2159,0.218
is_hit_calibrated,0.1615,0.6601,0.3189,0.0011,0.2169,0.218
is_hr_raw,0.02872,0.7401,0.0775,0.0002,0.0301,0.0303
is_hr_calibrated,0.02881,0.7294,0.0708,0.0004,0.0307,0.0303
is_strikeout_raw,0.14479,0.7744,0.4371,0.0092,0.2308,0.2216
is_strikeout_calibrated,0.14515,0.7725,0.4344,0.0092,0.2308,0.2216
is_walk_raw,0.05489,0.926,0.4701,0.0001,0.086,0.0861
is_walk_calibrated,0.05519,0.9249,0.4599,0.0,0.0861,0.0861
is_xbh_raw,0.06816,0.6794,0.1351,0.0014,0.0772,0.0759
is_xbh_calibrated,0.06831,0.6743,0.1314,0.0034,0.0793,0.0759
