name,BBE,avg_EV,max_EV,avg_LA,barrel_pct,hard_hit_pct,avg_distance
Shohei Ohtani,46,94.2,117.1,15.0,28.3,52.2,200.1
Dalton Rushing,13,93.8,109.0,24.2,23.1,61.5,241.9
Max Muncy,34,93.7,112.7,14.7,20.6,58.8,190.0
Freddie Freeman,63,92.2,110.3,16.8,15.9,49.2,194.6
Andy Pages,49,91.8,109.1,19.7,8.2,55.1,168.6
Santiago Espinal,16,91.7,104.3,10.6,5.9,35.3,173.9
Alex Freeland,35,91.2,106.8,7.4,11.4,42.9,148.7
Miguel Rojas,28,91.1,108.3,12.5,7.1,46.4,126.5
Teoscar Hernández,39,90.8,110.7,11.3,15.4,43.6,182.0
Mookie Betts,30,89.4,102.0,25.3,10.0,30.0,204.8
Hyeseong Kim,12,89.0,103.0,10.8,8.3,33.3,187.5
Will Smith,41,88.2,110.8,16.4,14.6,34.1,186.7
Kyle Tucker,49,87.9,105.9,13.4,2.0,36.7,158.7
Alex Call,17,84.2,97.4,18.5,0.0,23.5,162.9
