feature,VIF
roll_ev_30,1478.31
roll_ev_100,1327.53
cum_career_ops_vs_rhp,633.05
cum_career_ba_vs_rhp,469.46
cum_career_ops_vs_lhp,407.93
roll_ev_10,381.67
cum_career_ba_vs_lhp,295.25
cum_career_pa_vs_rhp,88.07
cum_career_pa_vs_lhp,71.81
roll_ba_100,50.32
cum_career_hr_vs_rhp,41.77
roll_k_rate_100,27.64
cum_career_hr_vs_lhp,26.94
roll_ba_30,24.89
roll_k_rate_30,21.57
month,15.0
roll_la_100,13.33
roll_bb_rate_100,11.06
roll_la_30,9.92
roll_bb_rate_30,8.09
roll_ba_10,7.8
roll_k_rate_10,6.96
roll_hr_rate_100,6.41
pitch_count,5.48
roll_hr_rate_30,4.83
day_of_week,3.62
roll_la_10,3.57
roll_bb_rate_10,3.26
in_zone,2.99
roll_hr_rate_10,2.43
vs_lhp,1.38
roll_barrel_10,
roll_barrel_100,
roll_barrel_30,
